source,relation,target
424509006,IS_A,386702006
424509006,INTERPRETS,363896009
424509006,INTERPRETS,3850002
422722002,IS_A,386702006
422722002,INTERPRETS,363896009
422722002,INTERPRETS,3850002
700226009,IS_A,386702006
700226009,INTERPRETS,363896009
700226009,INTERPRETS,3850002
706893006,IS_A,386702006
706893006,INTERPRETS,363896009
706893006,INTERPRETS,3850002
442084003,IS_A,225818009
442084003,INTERPRETS,363896009
442084003,INTERPRETS,3850002
225799007,IS_A,284465006
225799007,INTERPRETS,3850002
225800006,IS_A,225799007
225800006,INTERPRETS,3850002
225831004,IS_A,844005
225831004,IS_A,284465006
225831004,INTERPRETS,363896009
225831004,INTERPRETS,3850002
225832006,IS_A,225831004
225832006,INTERPRETS,363896009
225832006,INTERPRETS,3850002
225833001,IS_A,225831004
225833001,INTERPRETS,363896009
225833001,INTERPRETS,3850002
225834007,IS_A,225831004
225834007,INTERPRETS,363896009
225834007,INTERPRETS,3850002
225835008,IS_A,225831004
225835008,INTERPRETS,363896009
225835008,INTERPRETS,3850002
225836009,IS_A,225831004
225836009,INTERPRETS,363896009
225836009,INTERPRETS,3850002
225837000,IS_A,225831004
225837000,INTERPRETS,363896009
225837000,INTERPRETS,3850002
225838005,IS_A,225831004
225838005,INTERPRETS,363896009
225838005,INTERPRETS,3850002
225839002,IS_A,284465006
225839002,IS_A,844005
225839002,INTERPRETS,363896009
225839002,INTERPRETS,3850002
225840000,IS_A,225839002
225840000,IS_A,118196009
225840000,INTERPRETS,363896009
225840000,INTERPRETS,3850002
225841001,IS_A,118196009
225841001,IS_A,225839002
225841001,INTERPRETS,363896009
225841001,INTERPRETS,3850002
225842008,IS_A,118196009
225842008,IS_A,284465006
225842008,INTERPRETS,3850002
225843003,IS_A,225842008
225843003,INTERPRETS,3850002
225844009,IS_A,225842008
225844009,INTERPRETS,3850002
225855009,IS_A,108329005
225855009,IS_A,284465006
225855009,INTERPRETS,363911004
225855009,INTERPRETS,3850002
365999004,IS_A,225855009
365999004,INTERPRETS,225850004
365999004,INTERPRETS,3850002
225852007,IS_A,365999004
225852007,INTERPRETS,225850004
225852007,INTERPRETS,3850002
225853002,IS_A,365999004
225853002,INTERPRETS,225850004
225853002,INTERPRETS,3850002
366001003,IS_A,225855009
366001003,INTERPRETS,225854008
366001003,INTERPRETS,3850002
225856005,IS_A,366001003
225856005,INTERPRETS,225854008
225856005,INTERPRETS,3850002
714371000,IS_A,366001003
714371000,INTERPRETS,3850002
714371000,INTERPRETS,225854008
714371000,INTERPRETS,713985006
714562005,IS_A,366001003
